Project Name,CompilationUnit,Fully Qualified Name
AJHotDraw,DoubleBufferImage.java,org.jhotdraw.contrib.zoomDoubleBufferImage.java,
AJHotDraw,NullConnector.java,org.jhotdraw.figuresNullConnector.java,
AJHotDraw,RadiusHandle.java,org.jhotdraw.figuresRadiusHandle.java,
AJHotDraw,RadiusHandle.java,org.jhotdraw.figuresRadiusHandle.java,
AJHotDraw,GroupFigure.java,org.jhotdraw.figuresGroupFigure.java,
AJHotDraw,InsertImageCommand.java,org.jhotdraw.figuresInsertImageCommand.java,
AJHotDraw,InsertImageCommand.java,org.jhotdraw.figuresInsertImageCommand.java,
AJHotDraw,ConnectedTextTool.java,org.jhotdraw.figuresConnectedTextTool.java,
AJHotDraw,ConnectedTextTool.java,org.jhotdraw.figuresConnectedTextTool.java,
AJHotDraw,ConnectedTextTool.java,org.jhotdraw.figuresConnectedTextTool.java,
AJHotDraw,UngroupCommand.java,org.jhotdraw.figuresUngroupCommand.java,
AJHotDraw,UngroupCommand.java,org.jhotdraw.figuresUngroupCommand.java,
AJHotDraw,EllipseFigure.java,org.jhotdraw.figuresEllipseFigure.java,
AJHotDraw,GroupHandle.java,org.jhotdraw.figuresGroupHandle.java,
AJHotDraw,ScribbleTool.java,org.jhotdraw.figuresScribbleTool.java,
AJHotDraw,TextFigure.java,org.jhotdraw.figuresTextFigure.java,
AJHotDraw,ArrowTip.java,org.jhotdraw.figuresArrowTip.java,
AJHotDraw,LineFigure.java,org.jhotdraw.figuresLineFigure.java,
AJHotDraw,GroupCommand.java,org.jhotdraw.figuresGroupCommand.java,
AJHotDraw,TextTool.java,org.jhotdraw.figuresTextTool.java,
AJHotDraw,TextTool.java,org.jhotdraw.figuresTextTool.java,
AJHotDraw,NumberTextFigure.java,org.jhotdraw.figuresNumberTextFigure.java,
AJHotDraw,ElbowConnection.java,org.jhotdraw.figuresElbowConnection.java,
AJHotDraw,ElbowConnection.java,org.jhotdraw.figuresElbowConnection.java,
AJHotDraw,ChopEllipseConnector.java,org.jhotdraw.figuresChopEllipseConnector.java,
AJHotDraw,BorderTool.java,org.jhotdraw.figuresBorderTool.java,
AJHotDraw,BorderTool.java,org.jhotdraw.figuresBorderTool.java,
AJHotDraw,ImageFigure.java,org.jhotdraw.figuresImageFigure.java,
AJHotDraw,BorderDecorator.java,org.jhotdraw.figuresBorderDecorator.java,
AJHotDraw,ElbowHandle.java,org.jhotdraw.figuresElbowHandle.java,
AJHotDraw,NullFigure.java,org.jhotdraw.figuresNullFigure.java,
AJHotDraw,PolyLineConnector.java,org.jhotdraw.figuresPolyLineConnector.java,
AJHotDraw,LineDecoration.java,org.jhotdraw.figuresLineDecoration.java,
AJHotDraw,FontSizeHandle.java,org.jhotdraw.figuresFontSizeHandle.java,
AJHotDraw,FontSizeHandle.java,org.jhotdraw.figuresFontSizeHandle.java,
AJHotDraw,RoundRectangleFigure.java,org.jhotdraw.figuresRoundRectangleFigure.java,
AJHotDraw,LineConnection.java,org.jhotdraw.figuresLineConnection.java,
AJHotDraw,AbstractLineDecoration.java,org.jhotdraw.figuresAbstractLineDecoration.java,
AJHotDraw,PolyLineFigure.java,org.jhotdraw.figuresPolyLineFigure.java,
AJHotDraw,PolyLineHandle.java,org.jhotdraw.figuresPolyLineHandle.java,
AJHotDraw,PolyLineHandle.java,org.jhotdraw.figuresPolyLineHandle.java,
AJHotDraw,ShortestDistanceConnector.java,org.jhotdraw.figuresShortestDistanceConnector.java,
AJHotDraw,RectangleFigure.java,org.jhotdraw.figuresRectangleFigure.java,
AJHotDraw,FigureAttributes.java,org.jhotdraw.figuresFigureAttributes.java,
