Project Name,CompilationUnit,Fully Qualified Name
AJHotDraw,ResourceManagerNotSetException.java,org.jhotdraw.contrib.html.ResourceManagerNotSetException
AJHotDraw,RoundRectangleGeometricAdapter.java,org.jhotdraw.contrib.html.RoundRectangleGeometricAdapter
AJHotDraw,ZoomTool.java,org.jhotdraw.contrib.zoom.ZoomTool
AJHotDraw,ZoomAreaTracker.java,org.jhotdraw.contrib.zoom.ZoomAreaTracker
AJHotDraw,ZoomCommand.java,org.jhotdraw.contrib.zoom.ZoomCommand
AJHotDraw,ScalingGraphics.java,org.jhotdraw.contrib.zoom.ScalingGraphics
AJHotDraw,ScalingGraphics.java,org.jhotdraw.contrib.zoom.ScalingGraphics$ScalingFontMetrics
AJHotDraw,ZoomUpdateStrategy.java,org.jhotdraw.contrib.zoom.ZoomUpdateStrategy
AJHotDraw,MiniMapZoomableView.java,org.jhotdraw.contrib.zoom.MiniMapZoomableView
AJHotDraw,ZoomDrawingView.java,org.jhotdraw.contrib.zoom.ZoomDrawingView
AJHotDraw,AreaTracker.java,org.jhotdraw.contrib.zoom.AreaTracker
AJHotDraw,DoubleBufferImage.java,org.jhotdraw.contrib.zoom.DoubleBufferImage
AJHotDraw,NullConnector.java,org.jhotdraw.figures.NullConnector
AJHotDraw,RadiusHandle.java,org.jhotdraw.figures.RadiusHandle
AJHotDraw,RadiusHandle.java,org.jhotdraw.figures.RadiusHandle$UndoActivity
AJHotDraw,GroupFigure.java,org.jhotdraw.figures.GroupFigure
AJHotDraw,InsertImageCommand.java,org.jhotdraw.figures.InsertImageCommand
AJHotDraw,InsertImageCommand.java,org.jhotdraw.figures.InsertImageCommand$UndoActivity
AJHotDraw,ConnectedTextTool.java,org.jhotdraw.figures.ConnectedTextTool
AJHotDraw,ConnectedTextTool.java,org.jhotdraw.figures.ConnectedTextTool$UndoActivity
AJHotDraw,ConnectedTextTool.java,org.jhotdraw.figures.ConnectedTextTool$DeleteUndoActivity
AJHotDraw,UngroupCommand.java,org.jhotdraw.figures.UngroupCommand
AJHotDraw,UngroupCommand.java,org.jhotdraw.figures.UngroupCommand$UndoActivity
AJHotDraw,EllipseFigure.java,org.jhotdraw.figures.EllipseFigure
AJHotDraw,GroupHandle.java,org.jhotdraw.figures.GroupHandle
AJHotDraw,ScribbleTool.java,org.jhotdraw.figures.ScribbleTool
AJHotDraw,TextFigure.java,org.jhotdraw.figures.TextFigure
AJHotDraw,ArrowTip.java,org.jhotdraw.figures.ArrowTip
AJHotDraw,LineFigure.java,org.jhotdraw.figures.LineFigure
AJHotDraw,GroupCommand.java,org.jhotdraw.figures.GroupCommand
AJHotDraw,TextTool.java,org.jhotdraw.figures.TextTool
AJHotDraw,TextTool.java,org.jhotdraw.figures.TextTool$UndoActivity
AJHotDraw,NumberTextFigure.java,org.jhotdraw.figures.NumberTextFigure
AJHotDraw,ElbowConnection.java,org.jhotdraw.figures.ElbowConnection
AJHotDraw,ElbowConnection.java,org.jhotdraw.figures.ElbowTextLocator
AJHotDraw,ChopEllipseConnector.java,org.jhotdraw.figures.ChopEllipseConnector
AJHotDraw,BorderTool.java,org.jhotdraw.figures.BorderTool
AJHotDraw,BorderTool.java,org.jhotdraw.figures.BorderTool$UndoActivity
AJHotDraw,ImageFigure.java,org.jhotdraw.figures.ImageFigure
AJHotDraw,BorderDecorator.java,org.jhotdraw.figures.BorderDecorator
AJHotDraw,ElbowHandle.java,org.jhotdraw.figures.ElbowHandle
AJHotDraw,NullFigure.java,org.jhotdraw.figures.NullFigure
AJHotDraw,PolyLineConnector.java,org.jhotdraw.figures.PolyLineConnector
AJHotDraw,LineDecoration.java,org.jhotdraw.figures.LineDecoration
AJHotDraw,FontSizeHandle.java,org.jhotdraw.figures.FontSizeHandle
AJHotDraw,FontSizeHandle.java,org.jhotdraw.figures.FontSizeHandle$UndoActivity
AJHotDraw,RoundRectangleFigure.java,org.jhotdraw.figures.RoundRectangleFigure
AJHotDraw,LineConnection.java,org.jhotdraw.figures.LineConnection
AJHotDraw,AbstractLineDecoration.java,org.jhotdraw.figures.AbstractLineDecoration
AJHotDraw,PolyLineFigure.java,org.jhotdraw.figures.PolyLineFigure
AJHotDraw,PolyLineHandle.java,org.jhotdraw.figures.PolyLineHandle
AJHotDraw,PolyLineHandle.java,org.jhotdraw.figures.PolyLineHandle$UndoActivity
AJHotDraw,ShortestDistanceConnector.java,org.jhotdraw.figures.ShortestDistanceConnector
AJHotDraw,RectangleFigure.java,org.jhotdraw.figures.RectangleFigure
AJHotDraw,FigureAttributes.java,org.jhotdraw.figures.FigureAttributes
AJHotDraw,PolyLineLocator.java,org.jhotdraw.figures.PolyLineLocator
AJHotDraw,AttributeFigure.java,org.jhotdraw.figures.AttributeFigure
AJHotDraw,Connector.java,org.jhotdraw.framework.Connector
AJHotDraw,DrawingChangeEvent.java,org.jhotdraw.framework.DrawingChangeEvent
AJHotDraw,DrawingView.java,org.jhotdraw.framework.DrawingView
AJHotDraw,Tool.java,org.jhotdraw.framework.Tool
AJHotDraw,FigureVisitor.java,org.jhotdraw.framework.FigureVisitor
AJHotDraw,PointConstrainer.java,org.jhotdraw.framework.PointConstrainer
AJHotDraw,FigureAttributeConstant.java,org.jhotdraw.framework.FigureAttributeConstant
AJHotDraw,FigureSelectionListener.java,org.jhotdraw.framework.FigureSelectionListener
AJHotDraw,ConnectionFigure.java,org.jhotdraw.framework.ConnectionFigure
AJHotDraw,Drawing.java,org.jhotdraw.framework.Drawing
AJHotDraw,Painter.java,org.jhotdraw.framework.Painter
AJHotDraw,Cursor.java,org.jhotdraw.framework.Cursor
AJHotDraw,Handle.java,org.jhotdraw.framework.Handle
AJHotDraw,DrawingEditor.java,org.jhotdraw.framework.DrawingEditor
AJHotDraw,ToolListener.java,org.jhotdraw.framework.ToolListener
AJHotDraw,Figure.java,org.jhotdraw.framework.Figure
AJHotDraw,JHotDrawRuntimeException.java,org.jhotdraw.framework.JHotDrawRuntimeException
AJHotDraw,FigureChangeEvent.java,org.jhotdraw.framework.FigureChangeEvent
AJHotDraw,HandleEnumeration.java,org.jhotdraw.framework.HandleEnumeration
AJHotDraw,JHotDrawException.java,org.jhotdraw.framework.JHotDrawException
AJHotDraw,Locator.java,org.jhotdraw.framework.Locator
AJHotDraw,FigureChangeListener.java,org.jhotdraw.framework.FigureChangeListener
AJHotDraw,FigureSelection.java,org.jhotdraw.framework.FigureSelection
AJHotDraw,ViewChangeListener.java,org.jhotdraw.framework.ViewChangeListener
AJHotDraw,FigureEnumeration.java,org.jhotdraw.framework.FigureEnumeration
AJHotDraw,DrawingChangeListener.java,org.jhotdraw.framework.DrawingChangeListener
AJHotDraw,MySelectionTool.java,org.jhotdraw.samples.javadraw.MySelectionTool
AJHotDraw,FollowURLTool.java,org.jhotdraw.samples.javadraw.FollowURLTool
AJHotDraw,AnimationDecorator.java,org.jhotdraw.samples.javadraw.AnimationDecorator
AJHotDraw,BouncingDrawing.java,org.jhotdraw.samples.javadraw.BouncingDrawing
AJHotDraw,Animator.java,org.jhotdraw.samples.javadraw.Animator
AJHotDraw,JavaDrawViewer.java,org.jhotdraw.samples.javadraw.JavaDrawViewer
AJHotDraw,URLTool.java,org.jhotdraw.samples.javadraw.URLTool
AJHotDraw,PatternPainter.java,org.jhotdraw.samples.javadraw.PatternPainter
AJHotDraw,JavaDrawApp.java,org.jhotdraw.samples.javadraw.JavaDrawApp
AJHotDraw,JavaDrawApplet.java,org.jhotdraw.samples.javadraw.JavaDrawApplet
AJHotDraw,MiniMapDesktop.java,org.jhotdraw.samples.minimap.MiniMapDesktop
AJHotDraw,MiniMapApplication.java,org.jhotdraw.samples.minimap.MiniMapApplication
AJHotDraw,NetApp.java,org.jhotdraw.samples.net.NetApp
AJHotDraw,NodeFigure.java,org.jhotdraw.samples.net.NodeFigure
AJHotDraw,NothingApplet.java,org.jhotdraw.samples.nothing.NothingApplet
AJHotDraw,NothingApp.java,org.jhotdraw.samples.nothing.NothingApp
AJHotDraw,PertFigure.java,org.jhotdraw.samples.pert.PertFigure
AJHotDraw,PertDependency.java,org.jhotdraw.samples.pert.PertDependency
AJHotDraw,PertApplet.java,org.jhotdraw.samples.pert.PertApplet
AJHotDraw,PertFigureCreationTool.java,org.jhotdraw.samples.pert.PertFigureCreationTool
AJHotDraw,PertApplication.java,org.jhotdraw.samples.pert.PertApplication
AJHotDraw,ActionTool.java,org.jhotdraw.standard.ActionTool
AJHotDraw,FigureEnumerator.java,org.jhotdraw.standard.FigureEnumerator
AJHotDraw,ReverseFigureEnumerator.java,org.jhotdraw.standard.ReverseFigureEnumerator
AJHotDraw,CutCommand.java,org.jhotdraw.standard.CutCommand
AJHotDraw,NullDrawingView.java,org.jhotdraw.standard.NullDrawingView
